,from_team,from_x,from_y,from_frame,from_player_num,to_team,to_x,to_y,to_frame,to_player_num,play
0,attack,40.38032222103675,27.30764692961506,26,26,attack,37.87443673937849,48.70335917239139,52.0,14,Liverpool [2] - 0 Salzburg
1,attack,36.62260777537945,47.074387754516046,58,14,attack,30.090081167535104,53.7177998980015,74.0,11,Liverpool [2] - 0 Salzburg
2,attack,30.090081167535104,53.7177998980015,74,11,attack,35.54984153733128,58.668663369465214,98.0,14,Liverpool [2] - 0 Salzburg
3,attack,35.54984153733128,58.668663369465214,98,14,attack,6.5632631250565465,86.54403371894331,148.0,66,Liverpool [2] - 0 Salzburg
4,attack,6.5632631250565465,86.54403371894331,148,66,attack,5.488700593161356,55.4581929844425,164.0,26,Liverpool [2] - 0 Salzburg
1,attack,61.3777811949699,12.61028305317096,52,5,attack,71.37731132322192,13.210682523032176,82.0,9,Genk 0 - [3] Liverpool
2,attack,71.37731132322192,13.210682523032176,82,9,attack,78.05902537442402,27.993927447214517,102.0,11,Genk 0 - [3] Liverpool
3,attack,80.58433610518519,29.35586422173681,118,11,attack,91.518197627479,40.08405216205816,152.0,10,Genk 0 - [3] Liverpool
0,attack,61.73664246733823,85.71246661979218,0,66,attack,37.19370819905707,14.505403669351525,76.0,26,Liverpool [2] - 0 Man City
1,attack,28.52358666765573,15.13446623549733,100,26,attack,8.533035595263458,58.10068523548673,140.0,11,Liverpool [2] - 0 Man City
0,attack,72.99212816464555,57.407472801470654,8,20,attack,56.158683575580255,29.5828276413548,54.0,10,Liverpool [1] - 0 Everton
1,attack,37.434481274437005,22.76524762258396,112,10,attack,15.770866389326663,40.42324724944025,146.0,27,Liverpool [1] - 0 Everton
0,attack,82.44683082211117,60.891555261796036,0,,attack,70.25517745058724,78.63501469764662,42.0,66,Liverpool [2] - 0 Everton
1,attack,66.86672933870881,79.57035883784819,62,66,attack,37.49602238563299,21.62844425519225,106.0,10,Liverpool [2] - 0 Everton
2,attack,16.469266210756707,32.23940964443901,214,10,attack,6.8104490564064495,38.98411063731694,244.0,23,Liverpool [2] - 0 Everton
1,attack,31.193764765525426,51.83045574792122,82,8,attack,8.611767665395838,37.51240824395849,126.0,11,Bournemouth 0 - 3 Liverpool
1,attack,75.38278704906779,56.30048542994178,32,9,attack,49.176000657159385,23.97465062615785,98.0,10,Liverpool [1] - 0 Watford
2,attack,49.176000657159385,23.97465062615785,98,10,attack,17.173325360585867,28.202389591002568,156.0,11,Liverpool [1] - 0 Watford
0,attack,83.39730031853426,36.10301102860545,24,7,attack,92.13940001853828,16.669170751078934,60.0,66,Leicester 0 - [3] Liverpool
1,attack,92.13940001853828,16.669170751078934,60,66,attack,91.97397456517929,52.775476353177396,78.0,9,Leicester 0 - [3] Liverpool
